RecallNo,y2k,Manufacturer,Type,Prname,Seqid,Hazard,Country_mfg,Recdate
06183,106183,,,"Bushmaster X5, Broadhead Backpacker, Bullet Backpacker, Razor X5",8737,,,
88114,88114,,,Busy Animals small wind-up toys,5592,,,
99096,99096,,,Calvin Klein CK One fragranced candles,3730,,,
99096,99096,,,Calvin Klein Contradiction fragranced candles,3728,Fire & Fire-Related Burn,,1999-04-14
99096,99096,,,Calvin Klein Escape fragranced candles,3729,,,
99096,99096,,,Calvin Klein Eternity fragranced candles,3726,,,
99096,99096,,,Calvin Klein Obsession fragranced candles,3727,,,
85060,85060,,,Cannondale bicycle frameset forks,1331,,,
01517,101217,,,Cannondale Cannibal FX 400 four-wheeled all-terrain vehicles (ATVs),3926,Vehicle Accident,,2001-08-15
07206,107206,,,"Cannondale Si; Taurine;CAAD;System 6 Team,Liquigas Bicycles/Carbon Cranksets",9497,,,
90151,90151,,,Car Transport Vehicle toys,289,,,
92115,92115,,,Carlson Swivel 'N Snooze cradle swings,533,Suffocation,,1992-07-23
01227,101227,,,Carter's Activity Butterflies,332,Laceration,,2001-09-06
99012,99012,,,Cartoon Network Fisher-Price Power Wheels ride-on cars/trucks,675,,,
99012,99012,,,Caterpillar Fisher-Price Power Wheels battery-powered ride-on cars/trucks,676,,,
87030,87030,,,Centipede Pull Along toy,313,Choking,,1987-05-20
98128,98128,,,Century Fold-N-Go portable play yards,394,Collapse,,1998-06-18
01172,101172,,,Century Pioneer 4-in-1 Strollers,1179,,,
01172,101172,,,Century Pro Sport 4-in-1 Strollers,1181,,,
01172,101172,,,Century Travel Solutions 4-in-1 Strollers,1178,,,
01172,101172,,,Century Travelite 4-in-1 Strollers,1180,,,
98153,98153,,,Chardonnay wooden bunk beds,641,,,
88078,88078,,,Charlotte Fibre Craft dolls,5643,,,
92091,92091,,,Chilton Toys Evenflo Doll Care Set,472,Choking,,1992-05-28
97145,97145,,,Christine full-size wooden baby cribs,582,,,
98164,98164,,,Circus Table and Chair Sets childrens' furniture,1406,,,
98164,98164,,,Circus Wall Shelf childrens' furniture,1419,,,
84024,84024,,,Classic microwave ovens,1275,,,
06183,106183,,,"Clearshot, Openshot, MegaSampson Hunting Tree Stand Harnesses",8738,,,
88078,88078,,,Clothespin Cake Decoration rattles,1354,,,
98164,98164,,,Clown Coat Hooks childrens' furniture,1412,,,
91079,91079,,,Clown Ringing Phone toys,301,Choking,,1991-05-30
98164,98164,,,Clown Stepping Stools childrens' furniture,1405,,,
98164,98164,,,Clown Tot Stool childrens' furniture,1418,,,
05528,105085,,,"Club Car Carryall, Carryall Turf, Carryall Plus Utility Vehicles",7911,,,
05528,105085,,,"Club Car Street Rod, Bobcat, Indio, Custom Solutions, Limo vehicles/chassis",7919,,,
05528,105085,,,"Club Car Villager, TransPorter Transportation Vehicles",7912,,,
05528,105085,,,"Club Car XRT, Lynx Hunting Rough Terrain Vehicles",7913,,,
02200,102200,,,Coleman Mosquito Deleto Traps,6439,,,
96141,96141,,,Collection chairs,553,,,
96141,96141,,,Collection gang seats,556,,,
96141,96141,,,Collection sofas,554,,,
87061,87061,,,Colt Wonder horse ride-on toy,1341,,,
90089,90089,,,Comfy Tot infant cushions,345,Suffocation,,1990-04-30
02002,102002,,,Compaq Armada notebook computer AC adapters,6371,,,
02002,102002,,,Compaq Prosignia notebook computer AC adapters,6370,,,
98153,98153,,,Complements of Lexington wooden bunk beds,649,,,
01503,101027,,,Computer Room Cooling System,532,,,
94012,94012,,,Convert-a-Cradle Swings,367,Fall,,1993-12-17
95172,95172,,,Corolia multi-position resin patio chairs,503,,,
99012,99012,,,Corvette Fisher-Price Power Wheels battery-powered ride-on cars/trucks,677,,,
06517,106053,,,"Costume Shield in Sword and Shield, Cape, Helmet, Sword, and Shield Sets",8425,,,
00027,100027,,,Cottage wooden bunk beds,3758,,,
99012,99012,,,Coyote Fisher-Price Power Wheels battery-powered ride-on cars/trucks,697,,,
88060,88060,,Toy Dolls & Accessories,craft dolls,2070,Choking,,1988-08-02
84045,84045,,,Craft Toot and Machine electric pressure washers,1322,,,
88100,88100,,Rattles,Crib Pals Playtime Pals Rattle toys,5659,,,
88100,88100,,,Crib Pals Rattles,2085,Choking,,1988-11-17
98164,98164,,,Crown Coat Tree childrens' furniture,1413,,,
98164,98164,,,Crown Mirror childrens' furniture,1409,,,
98164,98164,,,Crown Tot Stools childrens' furniture,1407,,,
98164,98164,,,Crown Wall Hooks childrens' furniture,1411,,,
98164,98164,,,Crown Wall Shelf childrens' furniture,1408,,,
98032,98032,,Pasta Machines,CTC Pasta Express machines,5427,Laceration,,1997-11-25
90089,90089,,,Cushie Comfort pillow infant cushions,346,,,
99012,99012,,,Cycle Sound Suzuki Fisher-Price Power Wheels ride-on cars/trucks,696,,,
10004,110004,,Pen/Pencil/Crayon Case,"Daiso Lion, Frog, Bear Children's Purses",12157,Phthalates,Vietnam,
98153,98153,,,De Cristofaro wooden bunk beds,642,,,
06062,106062,,,"Defender, Liberty, Freedom, Commercial Pro Mosquito Magnet Insect Traps",8460,Explosion/Projectiles,,
98014,98014,,,Dell Latitude LM port replicator AC adapters,297,Electrocution/Electric Shock,,1997-10-21
01013,101013,,Adapter/Power Supply/Charger/Battery,Dell Latitude notebook computer batteries,1584,,,
97019,97019,,,Dem Bones hand-shaped five finger Decorative Novelty Halloween Candles,562,Fire & Fire-Related Burn,,1996-11-06
88051,88051,,,Devil Fish eight-inch wind-up toys,5617,,,
07026,107026,,Circular Saws,DeWalt DW378G and DW378GT Framing Saws,9043,,,
90132,90132,,,Dial-A-Fit children's and infant car seat plastic clips,282,,,
92105,92105,,,Diamonds in the Sky fireworks devices,477,,,
91067,91067,,,Dirty Dunk Jr. children's laundry hampers,299,Laceration,,1991-05-16
04134,104134,,,"DK Board Books: Dinosaurs, Emergency, Kitty’s Adventure, On The Road",7500,,,
04134,104134,,,"DK Board Books: Puppy’s Busy Day, Tractors, Trains, Trucks",7502,,,
89070,89070,,,Doll Craftin  Curly-One Doll Cupie Dolls,321,,,
89070,89070,,,Doll Craftin  Honey Dear Dolls Cupie Dolls,320,Choking,,1989-07-20
89070,89070,,,Doll Craftin  Jill Doll Cupie Dolls,322,,,
89070,89070,,,Doll Craftin  Sitting Curly-One Doll Cupie Dolls,319,Choking,,1989-07-20
08017,108017,,,Dot Red Ladybug; Dash Green Turtle; Bunny Pink; Chick Yellow cups. ,9818,Laceration,,
98156,98156,,Playpens/Play yards,Draco All Our Kids Portable cribs/play pens,7001,,,
98128,98128,,,Draco All Our Kids portable cribs/play yards,392,Collapse,,1998-06-18
01151,101151,,,Drink Machine,1200,,,
01151,101151,,,Drink Master,1198,,,
02060,102060,,,Duraforce Lawn-Boy GoldPro Power Mower,4072,,,
97161,97161,,,Duralgina Super Strength Pain Reliever,1940,,,
98127,98127,,,Durapro Aruba scuba buoyancy compensator devices (BCDs),1781,Drowning,,1998-06-16
98127,98127,,,Durapro Resort scuba buoyancy compensator devices (BCDs),6201,,,
98127,98127,,,Durapro Slimline scuba buoyancy compensator devices (BCDs),1782,,,
98127,98127,,Scuba Diving/Water Activity Equipment,Durapro Stratus scuba buoyancy compensator devices (BCDs),1780,,,
84045,84045,,,Earl Grissmer's Blue Lustre Dirt Buster electric pressure washers,1321,,,
08347,108347,,Toy Trains,"Earthentree Katerpillar Pull Toys, Kiddo, Rattleman, Six Ring Rattle Wooden Toys",10787,,,
08347,108347,,Toy Musical Instruments,"Earthentree Pom Pom Rail Train, Choo Choo Train Wooden Toys",10789,,,
08347,108347,,Toy Figures,"Earthentree Turtle Family Pull Toys, Kiddo, Cat and Bear Rattles, Tuttu Turtle Pull Toy Wooden Toys",10788,,,
75053,75053,,,Easton aluminum baseball bats with rubber grips,540,,,
83050,83050,,,Echo gas powered Weed and Grass Trimmers,1310,,,
83050,83050,,,Echo gas-powered Weed and Grass Trimmer,1309,,,
79043,79043,,,Edgewood women's jackets,3968,,,
79043,79043,,,Edgewood women's shorts,3966,,,
79043,79043,,,Edgewood women's tube tops,3967,,,
08184,108184,,,"eeBoo Drawing Birds, Butterflies. Princess, Garden Party, Up in the Tree, Nature Sketchbooks",10242,,,
08150,108150,,,"eeBoo Tot Tower toy blocks; Read-To-Me, Animal Sounds, Animal Alphabet, ABC, Nursery Friends",10148,,,
00176,100176,,,Empire Beach Splash battery-powered children's riding vehicles,843,,,
00176,100176,,,Empire Buddy L battery-powered children's riding vehicles,848,,,
00176,100176,,,Empire Chevy battery-powered children's riding vehicles,847,,,
00176,100176,,,Empire Go-Kart battery-powered children's riding vehicles,842,,,
00176,100176,,Toy Ride-on,Empire Power Drivers battery-powered children's riding vehicles,841,Fire & Fire-Related Burn,,2000-08-31
00176,100176,,,Empire Sun Dream battery-powered children's riding vehicles,844,,,
00176,100176,,,Empire Trail Tracker battery-powered children's riding vehicles,845,,,
00063,100063,,,Enchanted Garden Inchworm pull toys,3771,,,
02147,102147,,,Enduro Expert FSR SpecializedBicycles,4350,Vehicle Accident,,
02147,102147,,,Enduro FSR Specialized Bicycles,4348,,,
02147,102147,,,Enduro Pro FSR Specialized Bicycles,4349,,,
87020,87020,,,Enesco Wood Toy Train,311,Poisoning,,1987-03-24
01129,101129,,,Escalade Sports Alley Court portable basketball hoops,6461,,,
02155,102155,,,Eugenio Serafin Corona Electric Showerhead Hot Water Heaters,4341,,,
02155,102155,,,Eugenio Serafin Corona Maxi Electric Showerhead Hot Water Heaters,4342,,,
98153,98153,,,Euroline wooden bunk beds,643,,,
98153,98153,,,Eurostyle wooden bunk beds,644,,,
97146,97146,,,Evenflo Happy Camper portable play yards,584,Entrapment,,1997-06-25
97146,97146,,,Evenflo Kiddie Camper portable play yards,583,,,
